"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21782","Validate the clicking of X from the recent searches","Mason Shoemall","Mon Dec 02 13:20:50 UTC 2024","passed","Mon Dec 02 13:21:11 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","22392","Validate the suggestion search dropdown (recent searches and popular searches) should display.","Mason Shoemall","Mon Dec 02 13:20:18 UTC 2024","passed","Mon Dec 02 13:20:40 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","22842","Validate on clicking the search icon or press enter, the search term should redirected to the search result page","Mason Shoemall","Mon Dec 02 13:20:27 UTC 2024","passed","Mon Dec 02 13:20:50 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","8042","Validate CallUs section-NeedHelp when the searched item/product is not a valid search","Mason Shoemall","Mon Dec 02 13:19:19 UTC 2024","passed","Mon Dec 02 13:19:27 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","24157","Validate Add to Cart in PLP","Mason Shoemall","Mon Dec 02 13:15:10 UTC 2024","passed","Mon Dec 02 13:15:35 UTC 2024","Mason PLP Scenarios","mason_plp.spec.js","",""
"","7915","Validate ChatWithUs navigation-NeedHelp when the searched item/product is not a valid search","Mason Shoemall","Mon Dec 02 13:19:02 UTC 2024","passed","Mon Dec 02 13:19:10 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","39176","Logged in: Placing order with saved credit card","Mason Shoemall","Mon Dec 02 13:11:42 UTC 2024","passed","Mon Dec 02 13:12:21 UTC 2024","Mason Checkout - Guest and LoggedIn Users - Scenarios > Mason Checkout - Logged in: Placing order with saved credit card - Scenarios","mason_CheckoutScenarios.auth.spec.js","",""
"","9986","PDP - Product Data Display - Verify selection of size & color variants.","Mason Shoemall","Mon Dec 02 13:16:34 UTC 2024","passed","Mon Dec 02 13:16:44 UTC 2024","Mason PDP","mason_sb_pdp_auth.spec.js","",""
"","7767","Validate Page Title and search tip when the searched item/product is not a valid search","Mason Shoemall","Mon Dec 02 13:18:52 UTC 2024","passed","Mon Dec 02 13:18:59 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","31697","Validate navigation to BLP from PDP and ensure breadcrumbs are shown in BLP","Mason Shoemall","Mon Dec 02 13:10:44 UTC 2024","passed","Mon Dec 02 13:11:15 UTC 2024","Mason BLP Page","mason_blp.auth.spec.js","",""
"","13787","Account - Sign In (Drawer)/Sign In Page - Validate user should be able to login to site and close success message","Mason Shoemall","Mon Dec 02 13:21:38 UTC 2024","passed","Mon Dec 02 13:21:52 UTC 2024","Mason SignIn Scenarios","mason_signIn.auth.spec.js","",""
"","30807","Validate display and functionality of product when the searched item/product is a valid search","Mason Shoemall","Mon Dec 02 13:21:21 UTC 2024","passed","Mon Dec 02 13:21:51 UTC 2024","Mason Commerce Tool Site","mason_search.spec.js","",""
"","38245","Validate Quantity Option in Choose Options drawer in PLP","Mason Shoemall","Mon Dec 02 13:15:43 UTC 2024","passed","Mon Dec 02 13:16:21 UTC 2024","Mason PLP Scenarios","mason_plp.spec.js","",""
